epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.068,3.48125,37.717,0.99185,0,0,0,0,3.15647,18.7338,0.77521,0.00052,0.00052,0.00052
2,61.9296,3.40048,17.6654,0.96718,3e-05,0.0099,2e-05,1e-05,3.33245,15.6989,0.7619,0.00104951,0.00104951,0.00104951
3,86.6509,3.31861,13.6925,0.93265,0.0011,0.32673,0.00636,0.00111,3.33771,5.99322,0.76777,0.00156832,0.00156832,0.00156832
4,111.391,3.29233,11.8372,0.92322,0.45725,0.13861,0.10632,0.0252,3.48244,4.73246,0.83114,0.0019406,0.0019406,0.0019406
5,136.164,3.04674,8.87433,0.90856,0.27194,0.15842,0.1181,0.03397,3.10635,4.44923,0.83419,0.0019208,0.0019208,0.0019208
6,161.349,3.13128,7.006,0.94026,0.51499,0.23762,0.21439,0.06753,2.881,3.67294,0.78715,0.001901,0.001901,0.001901
7,186.383,2.98465,6.53839,0.91817,0.0008,0.23762,0.00055,0.00018,3.01115,769.347,0.80034,0.0018812,0.0018812,0.0018812
8,207.282,2.96437,5.1331,0.90596,0.75412,0.21266,0.21205,0.04647,2.65934,4.05041,0.76717,0.0018614,0.0018614,0.0018614
9,231.998,2.80588,4.12124,0.89649,0.48339,0.24752,0.19181,0.04524,2.67397,2.64311,0.7962,0.0018416,0.0018416,0.0018416
10,257.11,2.76632,3.9955,0.89155,0.59387,0.33303,0.31893,0.0972,2.51054,2.01873,0.80335,0.0018218,0.0018218,0.0018218
11,282.656,2.79448,3.07789,0.86907,0.65615,0.30693,0.37375,0.08629,2.50533,1.93675,0.75611,0.001802,0.001802,0.001802
12,304.268,2.83558,2.94976,0.86768,0.54645,0.35644,0.32493,0.1058,2.18506,1.76273,0.72959,0.0017822,0.0017822,0.0017822
13,328.935,2.79727,2.91712,0.87666,0.55427,0.37624,0.36866,0.097,2.70201,1.71499,0.77658,0.0017624,0.0017624,0.0017624
14,353.695,2.74865,2.53455,0.88874,0.64744,0.36634,0.43624,0.15572,2.14731,2.08684,0.74714,0.0017426,0.0017426,0.0017426
15,378.169,2.91795,2.45101,0.90008,0.46797,0.33098,0.35713,0.11427,2.09863,1.83245,0.73581,0.0017228,0.0017228,0.0017228
16,399.011,2.75668,2.14753,0.86717,0.36615,0.34653,0.23836,0.06819,2.40232,1.9265,0.74182,0.001703,0.001703,0.001703
17,422.875,2.67942,2.0688,0.86352,0.56738,0.41584,0.40469,0.11223,2.30649,1.66882,0.74678,0.0016832,0.0016832,0.0016832
18,447.175,2.65571,2.08239,0.86088,0.52159,0.45545,0.36077,0.12917,2.36601,1.79177,0.75134,0.0016634,0.0016634,0.0016634
19,471.433,2.76114,2.0418,0.85937,0.58861,0.44554,0.43806,0.13057,2.4775,1.52109,0.75062,0.0016436,0.0016436,0.0016436
20,492.331,2.62324,1.83739,0.86172,0.59302,0.47525,0.51999,0.1477,2.48224,1.6097,0.73231,0.0016238,0.0016238,0.0016238
21,516.254,2.56463,1.74717,0.85968,0.73589,0.46535,0.53209,0.18704,2.08679,1.53139,0.73928,0.001604,0.001604,0.001604
22,540.504,2.6342,1.69629,0.85885,0.67941,0.41968,0.47289,0.16382,2.30167,1.60969,0.73899,0.0015842,0.0015842,0.0015842
23,564.759,2.57966,1.68598,0.85836,0.61749,0.38363,0.43759,0.13886,2.29909,1.59235,0.72558,0.0015644,0.0015644,0.0015644
24,584.743,2.61145,1.7058,0.84001,0.73412,0.45545,0.5432,0.14684,2.24397,1.4127,0.73997,0.0015446,0.0015446,0.0015446
25,608.31,2.64739,1.66171,0.88073,0.58698,0.50495,0.43946,0.14095,2.2084,1.43528,0.7384,0.0015248,0.0015248,0.0015248
26,632.6,2.5857,1.59583,0.85216,0.55129,0.48659,0.45263,0.13047,2.22078,1.46222,0.73848,0.001505,0.001505,0.001505
27,656.444,2.55747,1.64577,0.86063,0.7249,0.48515,0.55129,0.17645,1.79448,1.45545,0.73995,0.0014852,0.0014852,0.0014852
28,676.277,2.5507,1.53551,0.86729,0.70154,0.45545,0.58889,0.20228,1.90456,1.3405,0.73122,0.0014654,0.0014654,0.0014654
29,699.383,2.42947,1.38737,0.86927,0.73328,0.43553,0.46326,0.13806,2.17021,1.57326,0.72953,0.0014456,0.0014456,0.0014456
30,723.25,2.45659,1.37737,0.86384,0.67031,0.45545,0.52092,0.1823,2.10686,1.67561,0.74263,0.0014258,0.0014258,0.0014258
31,747.033,2.50193,1.35224,0.86238,0.72114,0.35849,0.55062,0.20212,1.9949,1.74635,0.73675,0.001406,0.001406,0.001406
32,766.763,2.46702,1.47428,0.8334,0.73753,0.38954,0.54754,0.21411,2.23703,1.76458,0.74482,0.0013862,0.0013862,0.0013862
33,789.811,2.47314,1.44121,0.84578,0.58755,0.46535,0.47795,0.1671,2.06608,1.82991,0.73396,0.0013664,0.0013664,0.0013664
34,813.543,2.55676,1.55854,0.84594,0.58201,0.41584,0.37539,0.09648,2.20759,1.55438,0.74206,0.0013466,0.0013466,0.0013466
35,837.386,2.39615,1.42336,0.83417,0.55253,0.44554,0.44871,0.19303,1.86045,1.41597,0.7209,0.0013268,0.0013268,0.0013268
36,857.168,2.42805,1.41422,0.82843,0.61893,0.49855,0.46932,0.16692,2.19762,1.36761,0.72071,0.001307,0.001307,0.001307
37,880.087,2.47801,1.39344,0.84206,0.59563,0.48515,0.51687,0.18639,2.37998,1.40918,0.73009,0.0012872,0.0012872,0.0012872
38,903.83,2.49836,1.39003,0.84522,0.61906,0.51488,0.51138,0.18909,2.07751,1.34171,0.7209,0.0012674,0.0012674,0.0012674
39,927.875,2.66459,1.3967,0.83362,0.69166,0.52475,0.57646,0.22022,2.2477,1.30419,0.72944,0.0012476,0.0012476,0.0012476
40,947.838,2.47715,1.25109,0.84677,0.68658,0.56392,0.59205,0.23465,2.01331,1.25236,0.72185,0.0012278,0.0012278,0.0012278
41,970.981,2.46689,1.31072,0.84113,0.66732,0.56436,0.58433,0.23157,2.12607,1.28804,0.7282,0.001208,0.001208,0.001208
42,994.869,2.40636,1.29494,0.83528,0.65378,0.53465,0.57769,0.20689,2.0063,1.26919,0.7176,0.0011882,0.0011882,0.0011882
43,1018.69,2.34822,1.25697,0.84507,0.69979,0.50495,0.60648,0.23262,2.15744,1.21636,0.72589,0.0011684,0.0011684,0.0011684
44,1038.43,2.4957,1.31443,0.81548,0.69283,0.56436,0.60583,0.23059,2.12184,1.2798,0.7207,0.0011486,0.0011486,0.0011486
45,1061.39,2.36388,1.28143,0.83952,0.6375,0.45545,0.52993,0.20643,2.17257,1.23296,0.72823,0.0011288,0.0011288,0.0011288
46,1085.15,2.31568,1.21859,0.84691,0.67573,0.56436,0.58271,0.21994,2.06785,1.11642,0.71563,0.001109,0.001109,0.001109
47,1109.06,2.39204,1.25763,0.82966,0.72176,0.55446,0.61982,0.23192,2.09603,1.12961,0.72214,0.0010892,0.0010892,0.0010892
48,1128.82,2.48936,1.2074,0.83174,0.66342,0.52694,0.55361,0.20235,2.32731,1.19429,0.72034,0.0010694,0.0010694,0.0010694
49,1151.7,2.42096,1.24765,0.83043,0.66822,0.58416,0.57759,0.25597,1.94269,1.15369,0.71504,0.0010496,0.0010496,0.0010496
50,1175.59,2.37916,1.28111,0.82514,0.59661,0.54182,0.55187,0.21334,2.12713,1.25484,0.72334,0.0010298,0.0010298,0.0010298
51,1199.61,2.27515,1.14426,0.82859,0.69445,0.5176,0.56645,0.24983,1.87916,1.10209,0.71133,0.00101,0.00101,0.00101
52,1219.63,2.31275,1.29548,0.82228,0.72488,0.56436,0.60047,0.27308,1.81467,1.04926,0.70759,0.0009902,0.0009902,0.0009902
